id,text,label,event
3511947309647762,震惊，转发求证：【想都不敢想 ，在美国一桶金龙鱼食用油只要8元人民币】 一桶食用油相当于中国超市40多元(现在估计已经涨到五六十元了)的金龙鱼，在纽约沃尔玛感恩节时是1.6美元，圣诞节降至1.3美元。(折合人民币8.58元，而且油是绿色纯天然的，不是转基因的)，为什么中国一桶食用油要卖几十上百元？,real,29
3576100079039606,【法院无底线】湖南长沙一位小朋友上学路上捡到3万元，原地不动等失主，结果被人冒领。不知情的孩子到学校告知老师，被表扬，好人好事很快传开。真失主听说后，找上门要钱未果，竟然把孩子告上法庭。法院判决孩子家长赔偿6000元，气得家长大骂孩子：谁让你手贱捡那钱！by瀟湘墨人/@3千里,real,28
3584521306131914,"立刻检查一下你家里的牙膏，如果是黑色条马上扔掉！ 大家买膏请留心,买牙膏时注意牙膏管反面 底部的颜色条, 尽量选择绿色和蓝色。共分4种:绿、蓝、红、黑。绿色:纯天然； 蓝色:天然+药物； 红色:天然+化学成分； 黑色:纯化学。 国内的牙膏包括儿童牙膏居然大多都是化学的 ，太过分了吧。&nbsp;&nbsp;&nbsp;",real,3
3869510824498067,不要再随便买奶制品给孩子喝了❗️幼儿园都发通知了家长们注意：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、QQ星、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回。,real,11
3481914981436811,【中国80吨国库黄金下落不明】香港《动向》：财政部、央行、监察部和审计署已经成立专案组，调查存放在八个省市国库内的黄金储备有八十吨下落不明。如果属实，一定是官员合伙盗窃。战乱时期，蒋介石历时半年把450万两黄金运往台湾都没丢一两。现在，国库黄金不翼而飞？ O网页链接,real,0
3794143225010105,转贴：【35人死亡编制】35，神奇的数字。动车相撞35人死亡；重庆暴雨35人死亡；河南平顶山矿难35人死亡；山西临汾矿难35人死亡；深圳黄田机场空难35人死亡；云南曲靖假酒案35人死亡；辽宁铁岭烟花厂爆炸35人死亡……因为超过36人，市委书记级别官员要就地免职，故许多事件发生后，注定死亡人数不超36人,real,6
3827134097196962,妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，刚看了新闻：旺仔牛奶。、可口可乐、爽歪歪。娃哈哈AD钙奶、多美滋、雅培、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;望家长朋友们爱孩子 就别给他喝了！转！,real,11
3788536672989918,急找孩子，求转，求帮忙&nbsp;&nbsp;&nbsp;实验小学 寻人启事 13759695559 帮忙扩散，今天上午一个三岁多小女孩在临沂市锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码 从监控上看是被一个四十多岁男人抱走了现大人都急疯了 有知情者请告之 万分感谢 看到信息的兄弟姐妹留意一下 联系人 张静杰13759695559,real,6
3489023807311520,【这些洋货不能吃了！爆料“丹麦蓝罐曲奇也有毒】国家质检总局进口不合格食品黑榜：挪威的大西洋鲑鱼，检出副溶血性弧菌，被销毁。韩国进口的乐天牌巧克力粒，德国进口的欧尚85%黑巧克力，均发现铜超标，被退货或销毁。丹麦奇新蓝罐有限公司生产的曲奇(饼干)，大肠菌群超标，被销毁。（北京晚报）,real,2
3570610216980905,红十字会，必须做出解释！,real,3
3865728438590506,110已证实不是假的！大家注意：家里有孩子的 大人都看好了，河南省来了1000多外地人 专偷小孩抢小孩的 郑州已丢20多个，已解剖7个拿走器官！安阳也开始了，凡是街上转悠，跟到家门口楼下就走了，面包车收粮食的车收旧家电的人带黑口罩穿黑裤子，有问路的千万别停下不要理会，收到的都传下，这是事实！,real,6
3558061107430414,【华阴市副市长的车对西安警花下毒手！】&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;华阴市副市长的车对西安警花下毒手！&nbsp;&nbsp;【西安警花张昂，拦截高官车，竟然遭碾断手】张昂，前日截查一辆名牌越野车时，司机突然开车，并将其拖行20米，期间女警的... O网页链接,real,28
